JOBID,0.306
13090258,0.306
13092663,0.306
13095091,0.306
13095641,0.306
13096183,0.306
13096216,0.306
13096215,0.306
13069313,0.306
13082837,0.306
13095330,0.306
13093113,0.306
13094957,0.306
13089899,0.306
13056491,0.306
13096121,0.306
13096122,0.306
13096123,0.306
13096124,0.306
13096125,0.306
13096126,0.306
13096127,0.306
13096128,0.306
13096129,0.306
13096130,0.306
13096131,0.306
13096132,0.306
13096133,0.306
13096134,0.306
13096135,0.306
13096136,0.306
13096137,0.306
13096138,0.306
13096139,0.306
13096140,0.306
13096141,0.306
13096142,0.306
13096143,0.306
13096144,0.306
13096045,0.306
13096106,0.306
13096107,0.306
13096108,0.306
13096109,0.306
13096110,0.306
13096111,0.306
13096112,0.306
13096113,0.306
13096114,0.306
13096115,0.306
13096116,0.306
13096117,0.306
13096118,0.306
13096119,0.306
13096120,0.306
13096091,0.306
13096092,0.306
13096093,0.306
13096094,0.306
13096095,0.306
13096096,0.306
13096097,0.306
13096098,0.306
13096099,0.306
13096100,0.306
13096101,0.306
13096102,0.306
13096103,0.306
13096104,0.306
13096105,0.306
13096061,0.306
13096062,0.306
13096063,0.306
13096064,0.306
13096065,0.306
13096066,0.306
13096067,0.306
13096068,0.306
13096069,0.306
13096070,0.306
13096071,0.306
13096072,0.306
13096073,0.306
13096074,0.306
13096075,0.306
13096076,0.306
13096077,0.306
13096078,0.306
13096079,0.306
13096080,0.306
13096081,0.306
13096082,0.306
13096083,0.306
13096084,0.306
13096085,0.306
13096086,0.306
13096087,0.306
13096088,0.306
13096089,0.306
13096090,0.306
13096046,0.306
13096047,0.306
13096048,0.306
13096049,0.306
13096050,0.306
13096051,0.306
13096052,0.306
13096053,0.306
13096054,0.306
13096055,0.306
13096056,0.306
13096057,0.306
13096058,0.306
13096059,0.306
13096060,0.306
13095786,0.306
13095787,0.306
13095651,0.306
13095757,0.306
13095758,0.306
13095759,0.306
13095760,0.306
13095761,0.306
13095762,0.306
13095763,0.306
13095764,0.306
13095735,0.306
13095736,0.306
13095737,0.306
13095738,0.306
13095739,0.306
13095740,0.306
13095741,0.306
13095742,0.306
13095743,0.306
13095744,0.306
13095719,0.306
13095720,0.306
13095721,0.306
13095722,0.306
13095723,0.306
13095724,0.306
13095725,0.306
13095726,0.306
13095727,0.306
13095728,0.306
13095729,0.306
13095730,0.306
13095731,0.306
13095732,0.306
13095733,0.306
13095703,0.306
13095704,0.306
13095705,0.306
13095706,0.306
13095707,0.306
13095708,0.306
13095709,0.306
13095710,0.306
13095711,0.306
13095712,0.306
13095713,0.306
13095714,0.306
13095715,0.306
13095716,0.306
13095717,0.306
13095684,0.306
13095685,0.306
13095686,0.306
13095687,0.306
13095688,0.306
13095689,0.306
13095690,0.306
13095691,0.306
13095692,0.306
13095693,0.306
13095694,0.306
13095695,0.306
13095696,0.306
13095697,0.306
13095698,0.306
13095699,0.306
13095700,0.306
13095701,0.306
